year,data_centre,location,energy_kwh,water_liters,pue,co2e_per_kwh,ghg_emissions_kgco2e,land_used_m2
2024,DC_COVENTRY_01,Coventry,580000,250000,1.8,0.38,220400,1200
2024,DC_COVENTRY_02,Coventry,610000,270000,1.85,0.4,244000,1350
2024,DC_COVENTRY_03,Coventry,540000,230000,1.75,0.37,199800,1100
2024,DC_COVENTRY_04,Coventry,620000,290000,1.9,0.42,260400,1500
2024,DC_COVENTRY_05,Coventry,560000,240000,1.78,0.39,218400,1250
2025,DC_COVENTRY_01,Coventry,540000,210000,1.65,0.33,178200,1200
2025,DC_COVENTRY_02,Coventry,580000,230000,1.7,0.34,197200,1350
2025,DC_COVENTRY_03,Coventry,510000,200000,1.6,0.32,163200,1100
2025,DC_COVENTRY_04,Coventry,600000,260000,1.75,0.36,216000,1500
2025,DC_COVENTRY_05,Coventry,530000,220000,1.68,0.33,174900,1250
